Detailed.Parameter,Simple.Parameter,Specific.Metric,Reference,Experiment.Type,Environment,General.Taxon.Grouping.1,General.Taxon.Grouping.2,General.Taxon.Grouping.3,Heterotroph.or.Autotroph,Species,Life.Stage,Resource.General,Resource.Species,Resource.life.stage,Max.Temp,Min.Temp,Temp.Range,Number.of.Temps.Measured,Confident.in.Temps,Evidence.of.temperature.dependence,Activation.energy,Error,Error.Metric,Model.Used,Single.species.or.multiple,Where.to.find.in.paper,Evidence.that.temp.dependence.differs.between.species,Notes,More.notes,Their.Data.or.Dataset.
resource growth rate (r: intrinsic growth rate),resource growth rate,intrinsic growth rate,"Lasfar et al. (2007). Intrinsic growth rate: A new approach to evaluate the effects of temperature, photoperiod and phosphorus–nitrogen concentrations on duckweed growth under controlled eutrophication. Water Research: 41(11): 2333-2340
Activation energy calculated by: Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596",Lab,Freshwater,,,Duckweed,autotroph,Lemna minor,,,,,35,5,30,12,No,Yes,1.09,NA,NA,Arrhenius,single species,"From Dell et al. (2011) Table S3
E=1.09",,"The original paper uses a different model for temperature dependence, which they calculated model parameters for. (see Table 1 in Lasfar et al. (2007))",,"their data, part of Dell et al. (2011) dataset"
resource growth rate (µ: specific growth rate),resource growth rate,specific growth rate,"Bouterfas et al. (2002). Light and temperature effects on the growth rate of three freshwater algae isolated from a eutrophic lake. Hydrobiologia: 489(1): 207-217
Activation energy calculated by: Dell et al. (2011). See full reference above",Lab,Freshwater,,,Algae,autotroph,Coelastrum microporum,,,,,35,15,20,5,Somewhat,Yes,0.5,NA,NA,Arrhenius,single species,"From Dell et al. (2011) Table S3
E=0.5 (Coelastrum)
E=0.34 (Selenastrum)
No E given for Cosmarium. It says the fit was not significant",Perhaps. It is not noted if the values of E differ significantly between species or not.,Q10 values are provided in the original paper (see Table 2 in Bouterfas et al. (2002)),,"their data, part of Dell et al. (2011) dataset"
resource growth rate (µ: specific growth rate),resource growth rate,specific growth rate,"Bouterfas et al. (2002). Light and temperature effects on the growth rate of three freshwater algae isolated from a eutrophic lake. Hydrobiologia: 489(1): 207-217
Activation energy calculated by: Dell et al. (2011). See full reference above",Lab,Freshwater,,,Algae,autotroph,Selenastrum minutum,,,,,35,15,20,5,Somewhat,Yes,0.34,NA,NA,Arrhenius,single species,"From Dell et al. (2011) Table S3
E=0.5 (Coelastrum)
E=0.34 (Selenastrum)
No E given for Cosmarium. It says the fit was not significant",Perhaps. It is not noted if the values of E differ significantly between species or not.,Q10 values are provided in the original paper (see Table 2 in Bouterfas et al. (2002)),,"their data, part of Dell et al. (2011) dataset"
resource growth rate (µ: specific growth rate),resource growth rate,specific growth rate,"Dauta et al. (1990). Growth rate of four freshwater algae in relation to light and temperature. Hydrobiologia: 207(1): 221-226
Activation energy calculated by: Dell et al. (2011). See full reference above",Lab,Freshwater,,,Algae,autotroph,Chlorella vulgaris,,,,,35,10,25,6,No,Yes,0.39,NA,NA,Arrhenius,single species,"From Dell et al. (2011) Table S3
E=0.39 (Chlorella)
E=0.47 (Fragilaria)
E=0.56 (Staurastrum)
E=0.36 (Synechocystis)",Perhaps. It is not noted if the values of E differ significantly between species or not.,Q10 values are provided in the original paper (see Table 1 in Dauta et al. (1990)),,"their data, part of Dell et al. (2011) dataset"
resource growth rate (µ: specific growth rate),resource growth rate,specific growth rate,"Dauta et al. (1990). Growth rate of four freshwater algae in relation to light and temperature. Hydrobiologia: 207(1): 221-226
Activation energy calculated by: Dell et al. (2011). See full reference above",Lab,Freshwater,,,Algae,autotroph,Fragilaria crotonensis,,,,,35,10,25,6,No,Yes,0.47,NA,NA,Arrhenius,single species,"From Dell et al. (2011) Table S3
E=0.39 (Chlorella)
E=0.47 (Fragilaria)
E=0.56 (Staurastrum)
E=0.36 (Synechocystis)",Perhaps. It is not noted if the values of E differ significantly between species or not.,Q10 values are provided in the original paper (see Table 1 in Dauta et al. (1990)),,"their data, part of Dell et al. (2011) dataset"
resource growth rate (µ: specific growth rate),resource growth rate,specific growth rate,"Dauta et al. (1990). Growth rate of four freshwater algae in relation to light and temperature. Hydrobiologia: 207(1): 221-226
Activation energy calculated by: Dell et al. (2011). See full reference above",Lab,Freshwater,,,Algae,autotroph,Staurastrum pingue,,,,,35,10,25,6,No,Yes,0.56,NA,NA,Arrhenius,single species,"From Dell et al. (2011) Table S3
E=0.39 (Chlorella)
E=0.47 (Fragilaria)
E=0.56 (Staurastrum)
E=0.36 (Synechocystis)",Perhaps. It is not noted if the values of E differ significantly between species or not.,Q10 values are provided in the original paper (see Table 1 in Dauta et al. (1990)),,"their data, part of Dell et al. (2011) dataset"
resource growth rate (µ: specific growth rate),resource growth rate,specific growth rate,"Dauta et al. (1990). Growth rate of four freshwater algae in relation to light and temperature. Hydrobiologia: 207(1): 221-226
Activation energy calculated by: Dell et al. (2011). See full reference above",Lab,Freshwater,,,Algae,autotroph,Synechocystis minima,,,,,35,10,25,6,Somewhat,Yes,0.36,NA,NA,Arrhenius,single species,"From Dell et al. (2011) Table S3
E=0.39 (Chlorella)
E=0.47 (Fragilaria)
E=0.56 (Staurastrum)
E=0.36 (Synechocystis)",Perhaps. It is not noted if the values of E differ significantly between species or not.,Q10 values are provided in the original paper (see Table 1 in Dauta et al. (1990)),,"their data, part of Dell et al. (2011) dataset"
resource growth rate (µ: specific growth rate),resource growth rate,specific growth rate,Bestion et al. (2018). Metabolic traits predict the effects of warming on phytoplankton competition. Ecology Letters: 21: 655-664,Lab,Freshwater,,,Algae,autotroph,Ankistrodesmus nannoselene,,,,,25,15,10,3,Yes,Yes,0.27,0.05,SE,Arrhenius,single species,"From Table S4A
E=0.27 (Ankistrodesmus)
E=0.16 (Chlamydomonas)
E=0.99 (Chlorella)
E=0.59 (Monoraphidium)
E=0.00 (Scenedesmus)
E=0.90 (Raphidocelis)",Yes: E differs singnificantly between some of the species,Activation energies for µ between 15 and 25°C. Fig. 1b shows relationship between µ and temp for a greater range of temperatures.,They used the maximum value of µ under nutrient saturated conditions to calculate E ,their data
resource growth rate (µ: specific growth rate),resource growth rate,specific growth rate,Bestion et al. (2018). Metabolic traits predict the effects of warming on phytoplankton competition. Ecology Letters: 21: 655-664,Lab,Freshwater,,,Algae,autotroph,Chlamydomonas moewusii,,,,,25,15,10,3,Yes,Yes,0.16,0.08,SE,Arrhenius,single species,"From Table S4A
E=0.27 (Ankistrodesmus)
E=0.16 (Chlamydomonas)
E=0.99 (Chlorella)
E=0.59 (Monoraphidium)
E=0.00 (Scenedesmus)
E=0.90 (Raphidocelis)",Yes: E differs singnificantly between some of the species,Activation energies for µ between 15 and 25°C. Fig. 1b shows relationship between µ and temp for a greater range of temperatures.,They used the maximum value of µ under nutrient saturated conditions to calculate E ,their data
resource growth rate (µ: specific growth rate),resource growth rate,specific growth rate,Bestion et al. (2018). Metabolic traits predict the effects of warming on phytoplankton competition. Ecology Letters: 21: 655-664,Lab,Freshwater,,,Algae,autotroph,Chlorella sorokiniana,,,,,25,15,10,3,Yes,Yes,0.99,0.08,SE,Arrhenius,single species,"From Table S4A
E=0.27 (Ankistrodesmus)
E=0.16 (Chlamydomonas)
E=0.99 (Chlorella)
E=0.59 (Monoraphidium)
E=0.00 (Scenedesmus)
E=0.90 (Raphidocelis)",Yes: E differs singnificantly between some of the species,Activation energies for µ between 15 and 25°C. Fig. 1b shows relationship between µ and temp for a greater range of temperatures.,They used the maximum value of µ under nutrient saturated conditions to calculate E ,their data
