References,ID,Species,Latitude (°N),Longitude (°E),Optimal growth temperature (ºC),Cell volume (?m3),Activation energy (eV),Standard error of activation energy
Baars (1981),1,Actinocyclus octonarius,51.4,3.6,NA,262250,0.37,0.17
Baars (1981),2,Actinoptychus senarius,51.4,3.6,NA,660000,0.48,0.1
Thomas et al. (1973),3,Akashiwo sanguinea,32.9,-117.3,NA,132000,0.3,0.07
Boyd et al. (2013),4,Akashiwo sanguinea strain BWA,48.3,-124.7,25,132000,0.3,0.15
Boyd et al. (2013),5,Akashiwo sanguinea strain GBB,47.9,-124.6,25,132000,0.3,0.04
Boyd et al. (2013),6,Akashiwo sanguinea strain RMB,37,-122,25,132000,0.42,0.18
Boyd et al. (2013),7,Akashiwo sanguinea strain YRB,33.8,-118.4,25,132000,0.21,0.03
Laabir et al. (2011),8,Alexandrium catenella,43.4,3.7,27,9740,0.35,0.13
Navarro et al. (2006),9,Alexandrium catenella ,-46.7,-75.9,14,9740,0.97,1.39
Etheridge & Roesler (2005),10,Alexandrium fundyense strain BoF,44.7,-66.5,15,11800,0.84,0.17
Etheridge & Roesler (2005),11,Alexandrium fundyense strain MI,43.6,-69.5,15,11800,1.05,0.3
Cannon (1993),12,Alexandrium minutum,-34.8,138.5,20,9610,0.99,0.45
Juhl (2005),13,Alexandrium monilatum,30.2,-88.8,NA,60200,0.44,0.27
Jensen & Moestrup (1997),14,Alexandrium ostenfeldii clone LF-37,56.6,9.1,20.3,18875,1.11,0.12
Morton et al. (1992),15,Amphidinium klebsii,24.7,-81.1,27,11100,1.6,0.25
Kitaya et al. (2008),16,Amphidinium sp.,26.3,127.7,26,1840,0.95,0.13
Admiraal (1977),17,Amphiprora paludosa,53.6,8.3,25,1930,0.63,0.03
Hulburt (1982),18,Amphiprora sp.,28.9,50.8,28,1930,0.9,0.2
Hulburt (1982),23,Asterionellopsis glacialis,41.9,-70.3,17,4440,0.27,0.26
Baars (1981),25,Biddulphia aurita,51.4,3.6,12,11105.71429,0.68,0.15
Baars (1981),26,Biddulphia regia,51.4,3.6,12,808000,0.76,NA
Baars (1981),27,Biddulphia sinensis,51.4,3.6,NA,932250,0.26,0.17
Buitenhuis et al. (2008),28,Calcidiscus leptoporus strain N482-1,-23,14,NA,308,1.92,1.16
Buitenhuis et al. (2008),29,Calcidiscus leptoporus strain NS10-2,-34.3,17.2,12,291,8.56,NA
Baek et al. (2008),30,Ceratium furca,35.2,139.4,24,126000,1.26,0.31
Meeson & Sweeney (1982),31,Ceratium furca,NA,NA,NA,90000,0.94,0.08
Baek et al. (2008),33,Ceratium fusus,35.2,139.2,26,178000,1.1,0.31
Thompson et al. (1992),34,Chaetoceros calcitrans,NA,NA,NA,51.3,0.69,0.07
Reay et al. (1999),35,Chaetoceros curvisetum,56.4,3.8,NA,1090,0.24,0.11
Baars (1981),36,Chaetoceros debilis,51.4,3.6,12,11053.33333,0.94,NA
Baars (1981),37,Chaetoceros diadema,51.4,3.6,NA,16266.66667,0.95,0.15
Thompson et al. (1992),38,Chaetoceros gracilis,NA,NA,NA,76.9,0.49,0.11
Suzuki & Takahashi (1995),39,Chaetoceros pseudocurvisetus,35.2,139.4,25,1839,0.49,NA
Montagnes & Franklin (2001),40,Chaetoceros simplex,NA,NA,NA,167.8571429,0.61,0.29
Thompson et al. (1992),41,Chaetoceros simplex,NA,NA,NA,166,0.74,0.11
