Parameter,simple.parameter,Reference,Species,Evidence of temperature dependence,Activation energy,Single species,Where to find in paper,Evidence that temp dependence differs between species,Notes,More notes,Their Data or Dataset?,
resource growth rate (r: intrinsic growth rate),growth rate,Savage et al. (2004). Effects of body size and temperature on population growth. American Naturalist: 163(3): 429-441,Algae,Yes,0.53,multiple species,"From page 436
E=0.53 (given as -0.53)",,,,dataset,
resource growth rate (r: intrinsic growth rate),growth rate,"Lasfar et al. (2007). Intrinsic growth rate: A new approach to evaluate the effects of temperature, photoperiod and phosphorus–nitrogen concentrations on duckweed growth under controlled eutrophication. Water Research: 41(11): 2333-2340
Activation energy calculated by: Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596",Duckweed: Lemna minor,Yes,1.09,single species,"From Dell et al. (2011) Table S3
E=1.09",,"The original paper uses a different model for temperature dependence, which they calculated model parameters for. (see Table 1 in Lasfar et al. (2007))",,"their data, part of Dell et al. (2011) dataset",
resource growth rate (µ: specific growth rate),growth rate,"Bouterfas et al. (2002). Light and temperature effects on the growth rate of three freshwater algae isolated from a eutrophic lake. Hydrobiologia: 489(1): 207-217
Activation energy calculated by: Dell et al. (2011). See full reference above","Algae:
Coelastrum microporum",Yes,0.5,single species,"From Dell et al. (2011) Table S3
E=0.5 (Coelastrum)
E=0.34 (Selenastrum)
No E given for Cosmarium. It says the fit was not significant",Perhaps. It is not noted if the values of E differ significantly between species or not.,Q10 values are provided in the original paper (see Table 2 in Bouterfas et al. (2002)),,"their data, part of Dell et al. (2011) dataset",
resource growth rate (µ: specific growth rate),growth rate,"Bouterfas et al. (2002). Light and temperature effects on the growth rate of three freshwater algae isolated from a eutrophic lake. Hydrobiologia: 489(1): 207-217
Activation energy calculated by: Dell et al. (2011). See full reference above","Algae:
Selenastrum minutum",Yes,0.34,single species,"From Dell et al. (2011) Table S3
E=0.5 (Coelastrum)
E=0.34 (Selenastrum)
No E given for Cosmarium. It says the fit was not significant",Perhaps. It is not noted if the values of E differ significantly between species or not.,Q10 values are provided in the original paper (see Table 2 in Bouterfas et al. (2002)),,"their data, part of Dell et al. (2011) dataset",
resource growth rate (µ: specific growth rate),growth rate,"Bouterfas et al. (2002). Light and temperature effects on the growth rate of three freshwater algae isolated from a eutrophic lake. Hydrobiologia: 489(1): 207-217
Activation energy calculated by: Dell et al. (2011). See full reference above","Algae:
Cosmarium subprotumidum",No,0,single species,"From Dell et al. (2011) Table S3
E=0.5 (Coelastrum)
E=0.34 (Selenastrum)
No E given for Cosmarium. It says the fit was not significant",Perhaps. It is not noted if the values of E differ significantly between species or not.,Q10 values are provided in the original paper (see Table 2 in Bouterfas et al. (2002)),,"their data, part of Dell et al. (2011) dataset",
resource growth rate (µ: specific growth rate),growth rate,"Dauta et al. (1990). Growth rate of four freshwater algae in relation to light and temperature. Hydrobiologia: 207(1): 221-226
Activation energy calculated by: Dell et al. (2011). See full reference above","Algae:
Chlorella vulgaris",Yes,0.39,single species,"From Dell et al. (2011) Table S3
E=0.39 (Chlorella)
E=0.47 (Fragilaria)
E=0.56 (Staurastrum)
E=0.36 (Synechocystis)",Perhaps. It is not noted if the values of E differ significantly between species or not.,Q10 values are provided in the original paper (see Table 1 in Dauta et al. (1990)),,"their data, part of Dell et al. (2011) dataset",
resource growth rate (µ: specific growth rate),growth rate,"Dauta et al. (1990). Growth rate of four freshwater algae in relation to light and temperature. Hydrobiologia: 207(1): 221-226
Activation energy calculated by: Dell et al. (2011). See full reference above","Algae:
Fragilaria crotonensis",Yes,0.47,single species,"From Dell et al. (2011) Table S3
E=0.39 (Chlorella)
E=0.47 (Fragilaria)
E=0.56 (Staurastrum)
E=0.36 (Synechocystis)",Perhaps. It is not noted if the values of E differ significantly between species or not.,Q10 values are provided in the original paper (see Table 1 in Dauta et al. (1990)),,"their data, part of Dell et al. (2011) dataset",
resource growth rate (µ: specific growth rate),growth rate,"Dauta et al. (1990). Growth rate of four freshwater algae in relation to light and temperature. Hydrobiologia: 207(1): 221-226
Activation energy calculated by: Dell et al. (2011). See full reference above","Algae:
Staurastrum pingue",Yes,0.56,single species,"From Dell et al. (2011) Table S3
E=0.39 (Chlorella)
E=0.47 (Fragilaria)
E=0.56 (Staurastrum)
E=0.36 (Synechocystis)",Perhaps. It is not noted if the values of E differ significantly between species or not.,Q10 values are provided in the original paper (see Table 1 in Dauta et al. (1990)),,"their data, part of Dell et al. (2011) dataset",
resource growth rate (µ: specific growth rate),growth rate,"Dauta et al. (1990). Growth rate of four freshwater algae in relation to light and temperature. Hydrobiologia: 207(1): 221-226
Activation energy calculated by: Dell et al. (2011). See full reference above","Algae:
Synechocystis minima",Yes,0.36,single species,"From Dell et al. (2011) Table S3
E=0.39 (Chlorella)
E=0.47 (Fragilaria)
E=0.56 (Staurastrum)
E=0.36 (Synechocystis)",Perhaps. It is not noted if the values of E differ significantly between species or not.,Q10 values are provided in the original paper (see Table 1 in Dauta et al. (1990)),,"their data, part of Dell et al. (2011) dataset",
resource growth rate (µ: specific growth rate),growth rate,Chen et al. (2014). Temperature effects on the growth rate of marine picoplankton. Marine Ecology Progress Series: 505: 37-47 ,"Phytoplankton: 3 size classes
picophytoplanton
nanophytoplankton
microphytoplankton
(See Supplement for list of species)",Yes,"From Fig. 2B and page 42 text
E=1.02 (pico)
E=0.63 (nano)
E=0.74 (micro)
(values are medians, not means.See notes)",,"From Fig. 2B and page 42 text
E=1.02 (pico)
E=0.63 (nano)
E=0.74 (micro)
(values are medians, not means.See notes)",Values of E do not appear to differ significantly between size classes (See Fig. 2B),Data are shown in box plots and the medians shown in the box plots are reported in the text of the paper.,Mean activation energies are available for individual picophytoplankton species from a collection of other papers. (See Table 1),dataset,this paper and Chen & Laws have a dataset of over 500 individual E values that I could include
