intercept,sigma2,parameter
0.372766495858423,0.02266038503174429,mortality_rate
0.4680701812137459,0.02443443431632463,mortality_rate
0.500580927403458,0.01299257001706718,mortality_rate
0.46537466702129726,0.03130199825248121,mortality_rate
0.477317906508245,0.023622464375587703,mortality_rate
0.45552173906795407,0.014075442948216344,mortality_rate
0.4938695884132977,0.03951163149589229,mortality_rate
0.446632732592444,0.008168662389971344,mortality_rate
0.2756940105279958,0.036359478408297036,mortality_rate
0.3771427629819222,0.10659657751255097,mortality_rate
0.4782086785353397,0.06053751876613328,mortality_rate
0.46626848661389375,0.02145095350374169,mortality_rate
0.4497824013105761,0.035663258859298955,mortality_rate
0.5765440081258635,0.02470246901212655,mortality_rate
0.42761109562068694,0.027951996822397105,mortality_rate
0.47700823465138337,0.02526935704442125,mortality_rate
0.49744003782108454,0.029561958340982335,mortality_rate
0.4933154466976392,0.017154676595852757,mortality_rate
0.4784406063747356,0.023985871101222463,mortality_rate
0.4126968491925588,0.021707049055437317,mortality_rate
0.5426592521825211,0.02513062153307113,mortality_rate
0.5541668857260762,0.01928749061997232,mortality_rate
0.5627966347768573,0.0490127607382202,mortality_rate
0.5694776801859124,0.031358318898203126,mortality_rate
0.3673242093371424,0.034663065188294345,mortality_rate
0.3951725126869806,0.09168219770150157,mortality_rate
0.45227875828289676,0.14283613806320403,mortality_rate
0.5437136323740921,0.04593652813431904,mortality_rate
0.49361514784786714,0.015347472174165044,mortality_rate
0.5113148132012725,0.013512960563768802,mortality_rate
0.5530427736286176,0.028024928861254152,mortality_rate
0.4956678007884446,0.02865945302044032,mortality_rate
0.43604690480843994,0.019815905676323922,mortality_rate
0.46371052239742894,0.020063695403676748,mortality_rate
0.46010719069357064,0.03889550074047503,mortality_rate
0.5830364501681968,0.016283167971167977,mortality_rate
0.6381587400443594,0.022168478868867292,mortality_rate
0.38993077169265544,0.03449057644395401,mortality_rate
0.3827046818636609,0.047541993866954936,mortality_rate
0.45859108282436745,0.030336379298190434,mortality_rate
0.5468925059997432,0.013284531232898642,mortality_rate
0.57811080110466,0.014169123348678762,mortality_rate
0.5425002904756979,0.021758266400142345,mortality_rate
